Unnamed: 0,Subject,Event,TrialN,mean_pupil,time
242,Subject_1,Simple,8,-0.108642082317918,50
243,Subject_1,Simple,8,-0.179247264917388,100
244,Subject_1,Simple,8,-0.229873534251253,150
245,Subject_1,Simple,8,-0.273821801053733,200
246,Subject_1,Simple,8,-0.306694215242533,250
247,Subject_1,Simple,8,-0.356573578908393,300
248,Subject_1,Simple,8,-0.388521892202953,350
249,Subject_1,Simple,8,-0.426742122707567,400
250,Subject_1,Simple,8,-0.460010083001028,450
251,Subject_1,Simple,8,-0.445786095395748,500
252,Subject_1,Simple,8,-0.448502179761263,550
253,Subject_1,Simple,8,-0.448059086659704,600
254,Subject_1,Simple,8,-0.424618039320403,650
255,Subject_1,Simple,8,-0.395755299290313,700
256,Subject_1,Simple,8,-0.3596768742527,750
257,Subject_1,Simple,8,-0.323598449215087,800
258,Subject_1,Simple,8,-0.287520024177474,850
259,Subject_1,Simple,8,-0.251441599139861,900
260,Subject_1,Simple,8,-0.214655638602098,950
261,Subject_1,Simple,8,-0.203974618956083,1000
262,Subject_1,Simple,8,-0.192257357070638,1050
263,Subject_1,Simple,8,-0.190699783056903,1100
264,Subject_1,Simple,8,-0.191921603651268,1150
265,Subject_1,Simple,8,-0.185494616604093,1200
266,Subject_1,Simple,8,-0.191118750768184,1250
267,Subject_1,Simple,8,-0.214452146822998,1300
268,Subject_1,Simple,8,-0.228307209643513,1350
269,Subject_1,Simple,8,-0.231577954104808,1400
270,Subject_1,Simple,8,-0.243417914824803,1450
271,Subject_1,Simple,8,-0.244419010499748,1500
272,Subject_1,Simple,8,-0.246526857514484,1550
273,Subject_1,Simple,8,-0.225323433382583,1600
274,Subject_1,Simple,8,-0.191825375906903,1650
275,Subject_1,Simple,8,-0.167024622336043,1700
276,Subject_1,Simple,8,-0.108227598504283,1750
277,Subject_1,Simple,8,-0.0460987146667038,1800
278,Subject_1,Simple,8,0.016719692286312,1850
279,Subject_1,Simple,8,0.0741124501027266,1900
280,Subject_1,Simple,8,0.139189875526853,1950
281,Subject_1,Circle,9,-0.0495423427651098,0
282,Subject_1,Circle,9,-0.0882555114681396,50
283,Subject_1,Circle,9,-0.136256478457975,100
284,Subject_1,Circle,9,-0.14181186935386,150
285,Subject_1,Circle,9,-0.198914149869732,200
286,Subject_1,Circle,9,-0.231381345416026,250
287,Subject_1,Circle,9,-0.26384854096232,300
288,Subject_1,Circle,9,-0.296315736508614,350
289,Subject_1,Circle,9,-0.328782932054909,400
290,Subject_1,Circle,9,-0.352592208788858,450
291,Subject_1,Circle,9,-0.35654762600101,500
292,Subject_1,Circle,9,-0.35824396859837,550
293,Subject_1,Circle,9,-0.392955242917245,600
294,Subject_1,Circle,9,-0.412377253780349,650
295,Subject_1,Circle,9,-0.415973197115699,700
296,Subject_1,Circle,9,-0.45184674476005,750
297,Subject_1,Circle,9,-0.46828637986674,800
298,Subject_1,Circle,9,-0.49880839513974,850
299,Subject_1,Circle,9,-0.54266085947374,900
300,Subject_1,Circle,9,-0.574475432496469,950
301,Subject_1,Circle,9,-0.621918694315459,1000
302,Subject_1,Circle,9,-0.635489318062989,1050
303,Subject_1,Circle,9,-0.683613646818945,1100
304,Subject_1,Circle,9,-0.692179186487659,1150
305,Subject_1,Circle,9,-0.712482453741199,1200
306,Subject_1,Circle,9,-0.70079787220295,1250
307,Subject_1,Circle,9,-0.697456802967129,1300
308,Subject_1,Circle,9,-0.6779015913677,1350
309,Subject_1,Circle,9,-0.65204268161761,1400
310,Subject_1,Circle,9,-0.611591377925999,1450
311,Subject_1,Circle,9,-0.57334139739649,1500
312,Subject_1,Circle,9,-0.520350580400569,1550
313,Subject_1,Circle,9,-0.480642538931434,1600
314,Subject_1,Circle,9,-0.42564207332673,1650
315,Subject_1,Circle,9,-0.394244581440709,1700
316,Subject_1,Circle,9,-0.32624683544425,1750
317,Subject_1,Circle,9,-0.289838634197194,1800
318,Subject_1,Circle,9,-0.22969489124117,1850
319,Subject_1,Circle,9,-0.17806580459735,1900
320,Subject_1,Circle,9,-0.130869796983615,1950
321,Subject_1,Simple,10,-0.0285239495581906,0
322,Subject_1,Simple,10,-0.0593857118216663,50
323,Subject_1,Simple,10,-0.121343456870191,100
324,Subject_1,Simple,10,-0.170278529881621,150
325,Subject_1,Simple,10,-0.218682551335396,200
326,Subject_1,Simple,10,-0.236459587257186,250
327,Subject_1,Simple,10,-0.312080362191087,300
328,Subject_1,Simple,10,-0.340587070757357,350
329,Subject_1,Simple,10,-0.389161997497041,400
330,Subject_1,Simple,10,-0.406210070664062,450
331,Subject_1,Simple,10,-0.408065046134291,500
332,Subject_1,Simple,10,-0.436781505361997,550
333,Subject_1,Simple,10,-0.444026289236477,600
334,Subject_1,Simple,10,-0.440818665063136,650
335,Subject_1,Simple,10,-0.441152773837811,700
336,Subject_1,Simple,10,-0.469959312146076,750
337,Subject_1,Simple,10,-0.443545003868937,800
338,Subject_1,Simple,10,-0.424328392245217,850
339,Subject_1,Simple,10,-0.435852459815806,900
340,Subject_1,Simple,10,-0.407791771585281,950
341,Subject_1,Simple,10,-0.399138009080826,1000
342,Subject_1,Simple,10,-0.382674874631176,1050
343,Subject_1,Simple,10,-0.366521559504151,1100
344,Subject_1,Simple,10,-0.365770107180292,1150
345,Subject_1,Simple,10,-0.352610334730661,1200
346,Subject_1,Simple,10,-0.371283660118376,1250
347,Subject_1,Simple,10,-0.382921007945326,1300
